"id_arbol","direccion","tipo_vereda","lado_vereda","especie","tipo_tendido","distancia_entre_ar","distancia_al_muro","activo","lng","lat"
8,San Juan 1278,Chica,Par,Crespón,Ninguno,5.0,1.0,true,-58.8370984073059944,-27.4718559881730044
16,San juan 1268,Chica,Impar,Crespón,Ninguno,5.0,1.0,true,-58.8371212500610028,-27.4716634611739998
17,Bolivar 1074,Mediana,Par,Paraíso,Media Tensión (Con Protección),5.0,2.0,true,-58.8375667790110057,-27.4708885098159996
18,Bolívar 1110,Grande,Par,Crespón,Preensamblado,3.0,1.0,true,-58.8369429837179894,-27.4709216731990011
19,Bolivar 1134,Grande,Par,Crespón,Preensamblado,5.0,2.0,true,-58.8366704269759992,-27.4709510070949996
20,Roca s/n,Grande,Par,Moringa,Ninguno,4.0,0.0,true,-58.8220738847070024,-27.467295483101001
21,Calle Roca S/N,Grande,Par,Palo Borracho,Preensamblado,4.0,0.0,true,-58.8219546705109977,-27.4672773004770008
22,Roca sn,Grande,Par,Jacarandá,Preensamblado,5.0,0.0,true,-58.8220262548399973,-27.4672459999659999
23,Roca 750,Grande,Par,Ibirá Pitá,Media Tensión (Con Protección),3.0,2.0,true,-58.8222967710940097,-27.4674153165349999
24,Roca sn,Grande,Par,Jacarandá,Preensamblado,5.0,0.0,true,-58.821989624731998,-27.4672200462280003
25,Roca S/N,Mediana,Par,Jacarandá,Preensamblado,3.0,4.0,true,-58.8222011497149992,-27.4673840190089997
26,Gobernador velazco 2051,Mediana,Impar,Pata de Buey,Media Tensión (Con Protección),7.0,2.0,true,-58.8331676868239981,-27.4817156830029994
27,Jujuy 749,Mediana,Impar,Paraíso,Alta tensión (Con Protección),2.0,1.0,true,-58.8276439184259985,-27.4665037664390006
28,Carlos pellegrini 681,Chica,Impar,Pata de Buey,Preensamblado,8.0,1.0,true,-58.8417702913280039,-27.4648133363329983
29,La valle 2183,Mediana,Impar,Pata de Buey,Media Tensión (Con Protección),3.0,1.0,true,-58.8241725144400007,-27.4781632088760013
30,General paz 2425,Mediana,Impar,Paraíso,Alta tensión (Sin Protección),4.0,1.0,true,-58.821234939571994,-27.4798828912169988
31,Pedri de siervi mz.34 lote 5,Grande,Impar,Paraíso,Alta tensión (Con Protección),3.0,5.0,true,-58.8094462499210024,-27.5274580984599986
36,Maria teresa villone 5521,Grande,Impar,Paraíso,Alta tensión (Con Protección),5.0,4.0,true,-58.8108678683160093,-27.5266534401119998
38,Maria teresa villon 5521,Grande,Impar,Ñangapirí,Alta tensión (Con Protección),2.0,5.0,true,-58.8108596082320076,-27.5265637683150004
39,Emilio noya 332,Mediana,Par,Paraíso,Media Tensión (Con Protección),5.0,2.0,true,-58.812717813795004,-27.526338477570004
40,Emilio noya 305 esq. Esquivel,Mediana,Par,Thevetia,Alta tensión (Con Protección),5.0,3.0,true,-58.8127649318100012,-27.5271233671080005
42,Montenegro y argentina roja 3490,Mediana,Impar,Pata de Buey,Media Tensión (Con Protección),5.0,2.0,true,-58.8159191608430021,-27.5228012007649987
43,Argentina roja 3333,Chica,Impar,Thevetia,Media Tensión (Con Protección),5.0,2.0,true,-58.8156915861620035,-27.523060532664001
46,Emilio noya285,Mediana,Par,Paraíso,Media Tensión (Con Protección),3.0,3.0,true,-58.8123569611679997,-27.5256319085779992
49,Dimota 3661,Mediana,Impar,Pata de Buey,Media Tensión (Con Protección),9.0,3.0,true,-58.8119051277880018,-27.5249896284679991
50,Damota 3639,Mediana,Impar,Thevetia,Media Tensión (Con Protección),9.0,3.0,true,-58.8125291882450014,-27.5248420418790012
51,Plaza libertad,Grande,Par,Ibirá Pitá,Ninguno,3.0,0.0,true,-58.8226067601120022,-27.4705016460529983
54,Coronel artaza y laureles,Mediana,Par,Paraíso,Media Tensión (Con Protección),3.0,2.0,true,-58.7846214797160016,-27.4936830329709991
